device,name,ip
Spoke_2,H1.O1,0.0.0.0 0.0.0.0
Spoke_2,H1.O2,0.0.0.0 0.0.0.0
Spoke_2,H2.O1,0.0.0.0 0.0.0.0
Spoke_2,H2.O2,0.0.0.0 0.0.0.0
Spoke_2,Loopback_HC,10.51.17.255 255.255.255.255
Spoke_2,Loopback_IPSEC,10.51.254.17 255.255.255.255
Spoke_2,fortilink,10.255.1.1 255.255.255.0
Spoke_2,l2t.root,0.0.0.0 0.0.0.0
Spoke_2,naf.root,0.0.0.0 0.0.0.0
Spoke_2,port1,10.50.9.9 255.255.255.0
Spoke_2,port2,10.50.10.9 255.255.255.0
Spoke_2,port3,0.0.0.0 0.0.0.0
Spoke_2,ssl.root,0.0.0.0 0.0.0.0
Spoke_1,H1.O1,0.0.0.0 0.0.0.0
Spoke_1,H1.O2,0.0.0.0 0.0.0.0
Spoke_1,H2.O1,0.0.0.0 0.0.0.0
Spoke_1,H2.O2,0.0.0.0 0.0.0.0
Spoke_1,Loopback_HC,10.51.16.255 255.255.255.255
Spoke_1,Loopback_IPSEC,10.51.254.16 255.255.255.255
Spoke_1,fortilink,10.255.1.1 255.255.255.0
Spoke_1,l2t.root,0.0.0.0 0.0.0.0
Spoke_1,naf.root,0.0.0.0 0.0.0.0
Spoke_1,port1,10.50.9.8 255.255.255.0
Spoke_1,port2,10.50.10.8 255.255.255.0
Spoke_1,port3,10.51.16.1 255.255.255.128
Spoke_1,ssl.root,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,ABB_Internet,144.6.68.187 255.255.252.0
fw1-i-foletta-xyz,FEX-WAN,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,Loopback_MGMT,10.50.254.1 255.255.255.255
fw1-i-foletta-xyz,Qantas Honeypot,10.48.2.1 255.255.255.0
fw1-i-foletta-xyz,VPN.DoE-QLD,10.50.255.27 255.255.255.255
fw1-i-foletta-xyz,VPN.FTNT,10.48.255.255 255.255.255.255
fw1-i-foletta-xyz,WAPs,10.255.255.17 255.255.255.240
fw1-i-foletta-xyz,_default,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,a,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,a.i.foletta.xyz,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,a.vlan,10.48.0.1 255.255.255.0
fw1-i-foletta-xyz,b,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,b.i.foletta.xyz,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,b.vlan,10.48.1.1 255.255.255.0
fw1-i-foletta-xyz,fext-ipsec-HwIP,10.252.24.1 255.255.255.255
fw1-i-foletta-xyz,fortilink,10.48.255.1 255.255.255.240
fw1-i-foletta-xyz,internal1,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,internal2,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,internal3,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,internal4,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,internal5,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,internal6,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,l2t.root,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,modem,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,nac_segment,10.255.13.1 255.255.255.0
fw1-i-foletta-xyz,naf.root,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,onboarding,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,quarantine,10.255.11.1 255.255.255.0
fw1-i-foletta-xyz,rspan,10.255.12.1 255.255.255.0
fw1-i-foletta-xyz,servers,10.50.8.1 255.255.255.0
fw1-i-foletta-xyz,ssl.root,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,test,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,tls_decrypt,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,video,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,voice,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,wan1,10.51.255.1 255.255.255.254
fw1-i-foletta-xyz,wan2,0.0.0.0 0.0.0.0
fw1-i-foletta-xyz,wqt.root,10.253.255.254 255.255.240.0
fw1-i-foletta-xyz,wqtn.28.test,0.0.0.0 0.0.0.0
